column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_hpi
1995:Q2,44.91,55.36,61.14,96.91,104.01,44.44,37.17,45.63,47.51,36.57,22.27,60.35,145.95,78.47,44.3,39.37,49.27,46.85,48.53,53.63,24.49,,67.75391105214372
1995:Q3,44.99,56.52,60.59,95.6,104.28,45.65,37.37,44.56,47.26,36.37,22.64,60.37,145.27,78.39,44.69,39.97,50.67,48.1,48.01,54.45,24.59,,68.00732920157759
1995:Q4,44.9,57.17,60.54,94.05,104.42,47.18,37.71,44.46,47.48,36.3,23.53,60.14,144.59,78.39,45.38,40.97,50.82,49.94,47.23,54.9,24.72,,68.14765689464022
1996:Q1,44.82,56.07,60.16,92.62,104.24,47.94,38,44.85,48.08,37.19,23.98,59.64,143.84,78.65,46.52,42.17,51.67,52.55,47.49,55.51,25.04,,68.38353628614529
1996:Q2,45.37,57.28,59.94,91.66,104.18,48.79,38.15,46.27,48.39,36.96,25.57,59.02,143.15,78.87,47.31,43.46,52.42,53.44,48.01,55.61,25.26,,68.3876848839534
1996:Q3,45.49,57.23,59.7,90.82,104.05,50.38,38.01,46.58,48.87,37.88,26.78,58.22,142.46,78.96,47.89,44.73,54.4,53.4,48.79,55.86,25.4,,68.4836947710874
1996:Q4,45.69,58.39,59.4,89.53,103.86,52.65,38.59,47.81,48.68,38.98,27.45,57.29,141.91,79.45,48.35,46.12,55.99,54.83,48.79,56.29,25.67,,68.6835113865615
1997:Q1,46.08,56.05,59.95,88.62,103.44,54.03,39.2,49.26,47.89,39.9,28.27,55.9,141.5,81.05,48.65,47.5,55.65,56.12,49.58,56.76,25.97,,68.8591047054761
1997:Q2,46.66,58.48,60.72,88.1,103.19,55.07,40.08,51.48,48.33,40.43,29.66,55.34,141.04,81.53,49.04,48.76,58.2,56.63,51.4,57.24,26.74,,69.2131099034914
1997:Q3,47.44,59.98,63.44,87.91,102.93,56.43,40.36,53.82,48.53,41.89,31.24,55.45,140.6,81.53,49.47,49.98,59.53,57,52.45,58.02,28.12,,69.79256811035786
1997:Q4,48.43,60.09,63.68,87.61,102.68,57.27,39.8,54.47,48.7,42.06,35.35,55.61,140.11,81.45,49.86,51.29,60.51,57.81,52.45,58.77,29.6,,70.13046600388944
1998:Q1,49.6,60.72,64.35,87.52,102.1,58.41,40.15,56.25,48.66,43.54,36.31,56.13,139.6,79.05,50.16,52.56,60.89,57.26,54.01,59.65,30.55,,70.55022882172261
1998:Q2,50.65,61.63,64.46,87.33,101.98,60.38,41.57,57.79,49.06,45.53,39,56.41,139.01,73.55,50.65,53.88,63.1,55.6,55.84,60.2,31.16,,70.84057559840787
1998:Q3,50.7,63.65,64.6,87.08,101.98,61.4,42.6,59.54,49.66,46.85,42.57,56.37,138.46,71.78,51.28,55.41,64.06,54.68,57.4,61.03,31.97,,71.31571981607023
1998:Q4,51.54,64.02,64.55,86.84,102.1,62.63,42.88,59.91,50.22,47.18,45.16,56.91,137.54,70.94,52.03,57.29,63.12,55.75,58.19,61.75,32,,71.64495483542646
1999:Q1,52.44,65.56,65,86.94,102.68,63.64,43.23,60.32,51.19,47.92,47.21,57.97,136.23,72.09,52.94,59.53,64.57,56.67,58.97,62.41,31.93,,72.1409616328311
1999:Q2,53.6,67.28,66.02,86.97,102.93,64.12,43.78,62.58,52.05,49.6,47.03,58.92,135.06,72.45,53.83,62.11,66.93,57,61.32,63.24,32.66,,72.78177732138639
