column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,croatia,column_x,aggregate
1984:Q1,41.9828853445682,44.19041268849042,59.280761984677156,101.20157115812871,121.74399366435134,53.166403035864626,28.749113135256515,63.185654335823685,48.1784718673614,31.46870194813209,27.244622673263823,61.31052430599826,115.72026466232931,165.64753433188412,30.97079317806095,35.86900808635067,52.6411980963843,44.64188377305298,58.44785924387808,58.5449412962851,106.14646271109218,64.57057101894456,,70.71393683768916
1984:Q2,42.62260396851666,43.98976004494292,60.295162119931035,101.81625840832704,120.19319367881003,52.981273163742415,28.582838744415046,63.02540036256057,47.697918357078564,31.93930711806643,27.027008593723394,60.861082346756646,116.17357795583084,165.09341290585476,30.918808742390226,35.64334049059926,54.58763858736783,45.18808993859559,58.05827212820499,58.67024853682502,102.57232695969604,62.74942054481979,,70.66132928691592
1984:Q3,43.995096552514354,43.25866652865286,59.68924037027523,102.3620966191198,119.41881744363208,52.9973897895861,28.719654670674842,63.29554225737105,47.1633393591817,32.90834705812763,26.80614636743373,60.54687679966274,116.60504349145889,164.99756381073706,30.901308206902193,35.643375030224014,57.05755370437884,45.16714858659814,57.61621587892874,58.806913313481054,97.27530014656898,61.66666275488956,,70.67186978317987
1984:Q4,43.11779672244971,42.62538175299673,57.882797616279916,102.45638847669625,118.12339977298663,54.972049886546245,29.128655618833626,62.552118776808264,46.925072529116704,32.975650247461616,26.586160900090956,59.85773149320757,116.97067782403848,163.0496604116939,30.906714365006316,35.5790520899441,60.04128163450812,44.83030157731036,57.3155610338591,58.986032877749665,91.97814801420904,61.269169775001686,,70.45485788078722
1985:Q1,44.84605339567986,41.83542370500103,57.13396229754293,103.26598376827256,115.83192348601459,56.616528181586375,29.364413306584453,63.50047786662796,46.616114394698506,32.593495291391655,26.12716085988454,58.29722802483385,116.84359273629006,162.53937389724217,30.66418818283695,34.43357838129042,61.819004087629494,43.80578082958031,56.59612941931649,59.075036861439834,85.52964469029475,63.60428671101121,,70.09114846750347
1985:Q2,44.09266986174737,41.49843873188085,57.81449804574278,103.30430463743777,115.07119682613126,58.32574274027619,29.166783381818444,63.73168004135148,46.18354804489112,33.2865690786896,25.937233874082633,57.34990577825199,117.27221848808817,161.0829169884969,30.922375072081664,34.95095482341435,61.307091797848244,43.54217575263573,56.180831791102314,59.41749642228251,80.2828652225101,63.68296914207986,,70.08574842773588
1985:Q3,44.137110833042655,41.96135994643683,58.117651967817686,104.4989200151097,115.1726677311361,62.35406714283348,29.769670239874756,63.345821515276114,46.02235332106685,33.57541556854283,25.769884177387798,57.194300473213964,117.43506982264876,157.9519742401227,31.404467249511793,34.84932677519922,64.1475810944485,43.603066534828,55.98804809748509,59.88158858920999,76.91292037337256,63.57312057280126,,70.24021103639865
1985:Q4,44.534670128541244,42.225488268956894,59.074465558814424,105.12204838694947,114.73023771049446,64.07410390851021,30.20285357655743,64.36271503904025,46.27860127129,34.3771433900188,25.61994824889458,56.863381274585514,117.84983588307803,155.51496235953616,32.12743457921798,35.46853281428067,68.93748663459012,44.14972768599477,56.18180826645256,60.19595009767828,73.8073183738011,63.276904519971644,,70.4392742220903
1986:Q1,44.31122074137404,42.47018810797296,59.25768351935666,107.1678910935863,115.71634258806074,67.92285252959431,30.821076998268417,65.80645461810435,46.710024008230576,34.80737318998167,25.766470520976004,56.87844206157953,117.8925212351954,151.83359050468144,33.492983615063515,35.38541865582428,76.48245421165866,44.11785223735676,55.76515301688587,60.900255948908544,67.80170417394432,60.50601135614081,,70.77742262938767
1986:Q2,45.2167629109136,42.92208771191162,61.33983483072637,107.66497532438734,116.89829129611702,67.51171136124232,31.541894497450446,64.31431739083897,46.907221356442,36.16516044318695,25.614785774805966,57.119041570984685,118.84915642908793,150.5120541201304,34.35819713397024,36.160233702071295,77.98239841331197,43.47391789932249,56.02361184258881,62.18239635691187,64.50020793752776,60.73753149927039,,71.67969646926524
1986:Q3,44.38470937913187,43.95865194720934,62.84848324071528,109.00749462379851,116.60510517881228,65.55744359501897,32.50022944277249,64.63324226053689,47.16904235770672,37.432428858991706,25.451909563229798,57.63755294172367,119.67921115764773,148.00502425864772,35.116220706781405,37.050280634240664,79.4413094418354,42.5367304387647,56.710589106141605,62.80251069143803,61.95454191521834,61.65137471892028,,72.13109639512207
1986:Q4,43.81183004595759,44.45346329499813,64.633838961873,110.47682314808986,116.43477954363692,66.14005521425233,33.008063553384375,66.30968823753099,47.60539996103005,38.260388592653875,25.282993899308998,57.570650941582535,121.12953735232259,148.23450269678762,35.80887689097914,37.20086904578686,79.86299075660443,41.240938281733804,57.86683477998362,63.466492659128235,61.10822341449597,63.26017865288895,,72.75416318874453
