column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1995:Q4,67.78,82.85,73.08,87.08,81.74,74.08,63.52,65.01,75.25,68.19,48.68,72.63,100.93,59.48,79.06,70.63,58.34,70.05,74.67,67.72,44.03,,73.48
1996:Q1,68.74,81.71,72.8,86.6,82.57,74.04,64.16,63.65,75.37,69.41,48.83,74.13,100.04,61.89,79.29,71.21,59.09,70.98,73.9,68.7,45.11,,74.11
1996:Q2,69.5,81.83,72.74,86.8,82.41,74.48,64.8,63.93,75.67,71.06,49.6,75.06,101.04,63.45,79.75,72.07,59.86,71.82,74.14,69.7,48.04,,74.96
1996:Q3,69.67,82.06,73.02,87.11,83.1,74.9,65.36,64.46,76.09,71.51,50.49,75.81,101.31,64.82,80.21,73.02,60.58,72.76,74.19,70.41,47.95,,75.55
1996:Q4,70.46,82.38,73.92,87.53,82.93,75.29,65.83,65.26,76.55,71.48,51.49,76.4,102.5,65.99,81.01,74.05,61.51,73.61,73.7,71.08,49.26,,76.18
1997:Q1,70.84,82.97,74.08,88.41,82.95,75.32,65.76,67.12,76.76,73.32,52.51,76.6,102.05,67.13,82.23,75.48,62.53,75.16,73.26,71.77,51.49,,76.69
1997:Q2,71.85,83.45,74.66,88.94,83.83,75.8,66.26,68.09,77.27,74.64,53.76,76.94,102.39,67.91,83.26,76.56,63.64,75.86,73.97,72.33,52.43,,77.32
1997:Q3,72.11,83.98,75.92,89.45,84.04,76.38,66.86,68.98,77.65,75.21,55.16,77.22,102.99,68.49,84.47,77.62,65.45,76.32,75.21,73.16,51.91,,77.98
1997:Q4,72.04,84.57,75.92,89.94,84.86,77.07,67.56,69.8,78.27,76.08,56.69,77.41,103.55,68.87,85.8,78.64,66.5,76.67,75.63,74.24,53.15,,78.76
1998:Q1,71.49,85.35,76.58,90.25,84.71,78.78,68.37,70.27,79.16,77.26,58.82,77.09,103.65,68.1,87.37,79.69,67.41,75.6,75.02,75.83,54.36,,79.59
1998:Q2,71.78,85.97,76.88,90.77,84.49,79.33,69.28,70.78,79.78,77.29,60.44,77.2,102.7,68.44,88.45,80.61,68.18,76.03,75,76.88,55.49,,80.05
1998:Q3,73.51,86.58,77.92,91.34,85.49,79.61,70.29,71.78,80.3,78.41,62.01,77.56,101.91,68.94,89.01,81.48,68.19,76.68,76.9,77.7,55.5,,80.68
1998:Q4,71.94,87.17,79.05,91.96,86.31,79.64,71.41,72.84,80.91,78.82,63.54,78.01,103.05,69.59,89.07,82.27,68.91,77.71,77.95,78.28,55.72,,81.34
1999:Q1,73.23,87.35,79.15,92.71,86.32,78.25,72.93,73.7,80.73,78.05,64.81,78.8,102.04,70.85,88.93,82.59,69.7,80.81,77.96,78.81,57.44,,81.6
