column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1994:Q3,44.95,53.75,65.26,100.56,102.49,41.61,35.54,46.75,47.83,36.19,21.67,59.44,147.56,78.59,44.58,39.25,46.57,44.71,48.19,52.5,23.18,,67.41
1994:Q4,44.8,53.9,65.64,99.11,103.13,42.07,35.83,45.9,47.79,36.51,20.66,59.5,147.01,78.58,44.59,38.96,47.86,45.86,48.06,52.52,23.56,,67.44
1995:Q1,45.26,54.77,65.13,98.04,103.64,43.04,36.72,45.07,47.72,36.35,21.68,60.16,146.53,78.34,44.17,39.1,48.74,46.2,48.16,52.83,24.05,,67.6
1995:Q2,44.85,55.21,63.62,96.92,104.02,44.55,37.25,45.45,47.59,36.58,22.36,60.35,145.95,78.42,44.36,39.28,49.54,46.94,48.21,53.66,24.49,,67.89
1995:Q3,44.97,56.21,62.8,95.91,104.27,45.82,37.23,44.45,47.27,36.32,22.78,60.37,145.27,78.54,44.73,39.85,50.31,48.37,47.65,54.41,24.59,,68.1
1995:Q4,44.93,57.08,62.68,94.51,104.4,47.04,37.73,44.53,47.44,36.39,23.37,60.14,144.59,78.41,45.24,41.04,50.67,49.84,47.6,54.92,24.72,,68.28
1996:Q1,44.85,56.56,62.2,92.17,104.24,47.81,37.95,45.16,48.04,37.15,23.94,59.64,143.84,78.44,46.72,42.2,51.98,52.24,47.87,55.55,25.04,,68.5
1996:Q2,45.32,57.19,62.05,91.53,104.18,48.92,38.33,46.06,48.42,36.95,25.66,59.02,143.15,78.88,47.34,43.62,52.57,53.53,47.69,55.63,25.26,,68.51
1996:Q3,45.49,56.82,61.65,91.59,104.05,50.49,37.77,46.45,48.91,37.78,26.85,58.22,142.46,79.12,47.91,44.59,54.04,53.74,48.41,55.82,25.4,,68.56
1996:Q4,45.71,58.4,61.65,89.7,103.86,52.52,38.72,48.01,48.84,39.08,27.25,57.29,141.91,79.42,48.36,46.17,55.94,54.72,49.21,56.32,25.67,,68.84
1997:Q1,46.12,56.46,62.24,88.47,103.44,53.94,39.06,49.47,47.51,39.91,28.34,55.9,141.5,80.75,48.7,47.63,55.99,55.76,49.96,56.77,25.97,,68.95
1997:Q2,46.54,58.43,62.82,87.85,103.19,55.22,40.13,51.26,48.65,40.4,29.77,55.34,141.04,81.53,49.08,48.79,58.18,56.72,51.09,57.28,26.74,,69.35
1997:Q3,47.5,59.51,64.11,88.12,102.93,56.46,40.44,53.74,48.42,41.76,31.21,55.45,140.6,81.63,49.5,49.86,59.24,57.38,51.98,58,28.12,,69.82
1997:Q4,48.44,60.19,64.45,87.88,102.68,57.18,39.65,54.73,48.77,42.13,35.15,55.61,140.11,81.36,49.88,51.44,60.5,57.69,52.92,58.81,29.6,,70.21
1998:Q1,49.63,61.06,65.02,87.92,102.1,58.36,40.09,56.32,48.51,43.64,36.46,56.13,139.6,78.81,50.22,52.63,61.31,56.89,54.43,59.65,30.55,,70.61
1998:Q2,50.52,61.58,65.02,87.45,101.98,60.55,41.61,57.59,49.21,45.46,39.11,56.41,139.01,73.62,50.69,53.85,62.86,55.7,55.52,60.23,31.16,,70.91
1998:Q3,50.79,63.18,65.12,87.07,101.98,61.3,42.63,59.53,49.62,46.66,42.46,56.37,138.46,71.89,51.31,55.37,63.89,55.02,56.84,61.01,31.98,,71.34
1998:Q4,51.54,64.2,65.01,86.84,102.1,62.62,42.73,60.29,50.15,47.26,44.96,56.91,137.54,70.91,51.99,57.28,63.16,55.65,58.74,61.79,32,,71.71
1999:Q1,52.48,65.8,65.14,87.32,102.68,63.61,43.39,60.13,51.27,48.13,47.43,57.97,136.23,71.96,53.06,59.55,65.02,56.32,59.42,62.39,31.93,,72.2
1999:Q2,53.44,67.25,66.21,87.14,102.93,64.28,43.65,62.46,52.04,49.44,47.09,58.92,135.06,72.54,53.85,62.1,66.5,57.11,61.02,63.28,32.66,,72.82
1999:Q3,54.83,68.41,66.08,86.85,103.19,65.32,45.16,64.72,53.24,51.59,50.76,59.92,133.89,73.34,54.76,64.97,68.3,57.37,62.47,64.11,33.11,,73.53
1999:Q4,56.38,68.17,66.86,87.49,103.44,66.01,46.56,66.51,54.36,53.77,53.13,60.96,132.68,73.62,55.66,68.27,71.11,57,63.73,64.83,34.15,,74.2
2000:Q1,57.6,69.48,67.64,86.65,103.86,66.92,47.16,68.4,55.74,55.94,53.91,61.97,131.44,74,56.19,71.32,73.13,56.71,65.47,66.02,36.38,,75.07
2000:Q2,58.65,69.99,68.56,87.9,104.05,68.35,47.41,68.05,56.89,57.98,56.77,63.27,130.17,74.35,57.38,74.08,75.72,56.58,67.82,67.15,37.96,,75.87
2000:Q3,58.92,70.35,69.23,88.62,104.18,69.71,48.12,68,58.02,58.36,59.85,64.94,128.84,74.16,58.91,76.81,75.8,56.63,69.66,68.29,39.22,,76.52
2000:Q4,60.02,72.39,70.08,88.87,104.24,71.1,49.42,69.43,58.86,60.98,60.57,66.33,127.53,74.05,60.64,79.08,78.09,56.39,71.33,69.4,40.88,,77.34
2001:Q1,61.58,72.93,70.46,88.72,104.24,72.31,50.72,69.65,60.11,61.58,63.31,67.53,126.24,74.21,63.81,80.89,78.85,56.48,73.37,71.09,42,,78.24
2001:Q2,63.6,73.78,71.36,89.55,104.18,72.75,51.67,70.06,61.51,62.65,63.31,68.83,124.9,75.51,65.62,82.87,80.2,56.78,73.6,72.32,43.17,,79.03
2001:Q3,67.11,74.24,72.16,89.77,104.05,73.42,52.97,70.41,62.44,64.28,62.06,70.01,123.53,78.28,67.41,84.5,82.41,57.35,74.31,73.36,44.83,,79.82
2001:Q4,69.19,74.77,73.51,90.78,103.86,73.72,54.99,71.83,63.61,63.74,61.38,71.63,122.12,80.43,68.9,85.79,82.8,58.16,74.65,74.31,46.47,,80.45
2002:Q1,72.91,76.13,75.67,92.7,103.44,74.65,57.53,74.81,64.71,66.84,66.34,73.78,120.67,85.6,69.58,87.29,83.29,59.37,76.05,75.41,47.76,,81.63
2002:Q2,77.08,77.25,77.07,93.01,103.19,75.46,60.77,76.57,66.27,71.11,67.17,75.56,119.23,88.6,71.05,88.47,84.26,61.1,77.55,76.7,49.49,,82.88
2002:Q3,80.29,79.15,78.97,93.97,102.93,75.81,62.55,78.67,68.21,75.18,70.04,77,117.79,91.46,72.88,89.37,82.35,62.95,79.74,78.14,51.95,,84.14
2002:Q4,82.73,80.49,81.33,95.73,102.68,76.83,65.14,79.11,70.06,79.78,73.18,78.83,116.35,94.02,74.63,89.85,83.66,64.96,81.38,79.26,54.23,,85.33
2003:Q1,85.82,80.71,83.15,95.7,102.42,76.75,68.18,80.97,71.91,82.37,75.89,80.96,115.03,95.38,76.6,90.64,84.46,68.05,82.14,80.3,56.82,,86.35
2003:Q2,90.06,82.27,84.23,96.47,102.17,77.55,72.57,82.85,74.03,83.66,78.94,83.03,113.36,97.6,78.69,91.6,83.27,70.94,83.07,81.29,59.93,,87.33
2003:Q3,95.36,83.11,86.14,97.18,101.91,78.47,75.45,84.69,76.25,85.13,81.66,85.1,111.31,99.06,81.31,91.9,84.7,76.34,84.14,82.44,62.85,,88.33
2003:Q4,98.7,85.82,87.86,97.26,101.66,79.55,78.86,88.69,78.9,87.83,84.1,87.32,109.48,100.28,83.76,93.54,86.58,81.06,86.23,84.72,66.92,,89.95
2004:Q1,99.41,85.76,89.74,98.07,101.4,81.54,82.29,89.44,82.16,89.66,85.48,89.8,107.7,100.12,87.28,94.55,92.01,83.91,88.55,86.15,72.64,,91.13
2004:Q2,97.91,86.76,91.66,98.45,101.15,83.65,85.72,92.09,84.9,93.85,88.97,91.89,106.03,99.79,89.89,95.54,91.25,86.72,91.18,88.25,78.58,,92.62
2004:Q3,97.92,88.62,93.06,99.42,100.89,86.03,89.04,93.84,88.09,96.98,90.01,93.64,104.45,98.82,92.88,96.64,92.97,88.92,92.39,91.58,84.66,,94.54
2004:Q4,98.86,91.47,94.68,99.79,100.64,88.99,92.04,95.23,91.48,98.71,93.33,95.56,103.01,98.03,95.32,97.61,95.55,90.92,94.76,93.41,90.08,,95.87
2005:Q1,99.52,95.45,96.8,99.46,100.22,92.36,95.34,98.59,94.82,99.39,94.91,97.68,101.72,98.27,97.72,98.42,96.94,95.2,96.06,95.63,94.16,,97.33
2005:Q2,99.72,98.43,97.92,99.22,100.03,96.47,98.44,98.68,98.28,99.49,98.16,99.4,100.51,99.26,98.59,99.58,98.79,98.53,98.23,98.71,98.02,,99.09
2005:Q3,99.63,101.57,101.07,100.21,99.9,102,101.5,99.77,101.84,100.17,100.65,100.63,99.38,100.98,101.97,100.41,101.24,101.41,101.1,101.79,101.97,,101
2005:Q4,101.13,104.55,104.22,101.1,99.84,109.17,104.73,102.95,105.06,100.95,106.27,102.29,98.4,101.49,101.72,101.59,103.02,104.86,104.61,103.87,105.85,,102.58
2006:Q1,103.44,107.7,109.24,101.88,99.84,115.67,106.71,107.88,108.29,102.76,108.25,104.41,97.53,102.92,105.71,102.98,106.43,106.95,109.17,105.57,109.59,,104.19
2006:Q2,106.88,111.36,115.12,102.91,99.9,121.12,109,107.99,111.14,104.96,112.22,106.02,96.84,104.8,108.91,104.16,109.77,108.62,110.96,106.79,113.45,,105.66
2006:Q3,109.77,112.28,118.47,102.24,100.03,123.93,111.03,109.04,113.31,107.19,119.55,107.16,96.32,105.94,108.77,105.18,114.65,111.67,113.15,108,116.87,,106.92
2006:Q4,111.04,115.48,121.92,102.92,100.22,125.54,113.36,111.78,115.39,110.23,113.84,108.64,95.96,110.89,109.35,106.24,118.93,115.03,115.6,108.66,121.39,,108.14
2007:Q1,113.32,119.27,126.08,104.52,100.8,127.34,114.3,113.1,117.24,114.12,117.67,110.46,95.83,115.18,109.24,107.3,123.23,119.58,117.97,109.04,126.68,,109.41
2007:Q2,117.52,121.42,131.38,104.31,100.99,126.95,115.43,114.98,118.79,116.85,114.64,111.83,95.67,115.27,109.92,108.49,126.65,123.52,122.37,109.21,131.18,,110.31
2007:Q3,122.35,124.08,134.85,104.66,101.12,127.23,116.65,117.19,119.7,119.42,114.59,112.8,95.57,115.77,110.79,109.67,128.95,124.27,126.54,108.45,134.35,,110.73
2007:Q4,126.75,125.03,137.41,104.91,101.18,126.94,117.75,116.99,121.87,121.13,111.74,113.95,95.41,116.8,111.46,110.59,130.38,124.17,128.7,107.62,136.15,,111.02
2008:Q1,128.56,126.41,138.62,105.02,101.02,125.92,118.17,116.63,122.3,121.45,111.02,115.58,95.31,118.19,110.78,111.45,130.9,123.13,128.57,106.97,137.48,,111.05
2008:Q2,126.8,129.05,139.1,107.06,101.02,124.75,117.7,117.24,121.84,120.13,105.53,115.89,94.88,120.35,109.66,111.7,130.42,118.07,128.27,104.79,138.35,,110.07
2008:Q3,124.07,129.41,137.49,108.62,101.02,121.32,116.19,115.92,120.37,114.97,102.58,115.12,94.2,121.77,108.63,112.73,128.55,115.75,128.91,101.95,137.68,,108.23
2008:Q4,121.73,128.84,135.43,108.75,101.02,113.55,113.1,112.71,117.11,110.59,99.05,114.13,93.38,121.35,108.47,112.35,123.5,113.04,126.2,100.48,136.73,,106.59
2009:Q1,121.35,126.86,132.53,110.61,100.86,107.28,110.09,109.6,113.3,106.31,91.68,112.33,92.3,119.98,108.86,111.23,124.53,111.89,125.52,101.41,134.4,,105.8
2009:Q2,125.98,125.09,133.02,111.96,100.92,105.69,107.75,112.45,110.78,105.37,84.71,111.16,91.35,119.67,110,108.68,127.93,114.27,128.48,99.31,132.86,,104.56
2009:Q3,132.27,126.39,136.8,113.12,101.05,106.58,106.46,115.28,111.08,107.95,77.77,110.31,90.45,120.78,110.56,106.97,132.22,116.81,130.8,96.75,137.95,,103.93
2009:Q4,138.83,128.78,140.77,115.45,101.24,107.73,105.64,118.35,112.33,110.95,75.28,109.58,89.54,122.18,111.71,106.59,135.44,118.96,135.24,95.5,142.86,,104.05
2010:Q1,144.04,131.12,144.72,116,101.34,108.91,104.92,121.29,114.67,114.52,76.26,109.05,88.57,123.12,113.49,106.09,137.44,119.23,138.81,94.73,148.24,,104.4
2010:Q2,146.14,133.04,144.41,117.11,101.72,109.41,104.35,122.7,116.56,116.07,82.38,108.61,87.75,123.38,114.31,106.31,139.77,118.18,139.87,94.46,149.41,,104.55
