column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_rpdi
1982:Q3,75.17399745114697,74.52239126097366,78.85279411764704,77.09607724471832,70.36617770474314,77.53137098390874,68.3657695595952,60.94417208723933,74.06631838074398,49.66937598558234,50.36483973337207,80.88847580138278,72.46509221885862,35.2856092164623,59.85167026793256,76.390952616807,57.501924951267064,74.45213347921225,73.21003456858408,63.853857566765576,94.72637526368726,,66.96547220945244
1982:Q4,75.32153591160221,74.08604411764705,76.82233933878156,77.2800743657043,69.77022117011742,77.4533140494288,68.1955646159539,61.79626553672316,74.25548018564798,49.777504963600265,50.008889467607275,80.5565506329114,72.83554449648712,35.69860736181202,60.43598809608163,75.7843137254902,58.03303678768935,72.92541816641965,72.68663350363,63.88481291269259,94.08730707240895,,66.88704449618977
1983:Q1,75.29310927779281,73.71988340720755,75.97954315886133,77.01941283205109,69.74595985216678,75.54360318309863,68.18830231710274,62.61684650175374,73.42241565217391,49.70453237410073,49.72285011097417,81.37704982517482,71.70808014885581,35.863194039739135,61.07416543209203,74.45563860903478,58.39875827814569,71.38003925312964,72.3184943922796,64.22985997454083,97.8283753677348,,66.85095180680574
1983:Q2,72.40816082802547,73.34255828279,75.08084695731152,76.81613071284853,69.78989726148136,75.37140000384403,67.91029980247161,63.23040228841264,72.87771186440679,50.804031629116125,49.665109253941885,81.88098924426833,73.46197141435364,36.849761472045515,61.227641506134574,74.36437246963563,58.55553559007651,71.15538140020898,71.94835681645087,64.52252252252252,96.15544099606463,,67.14913796182437
1983:Q3,77.21753408495019,73.03194625863033,79.23372549019606,77.05757008009154,69.38932428490429,75.26907589865432,67.5463247331895,63.57515382557518,72.47191925053889,50.6127424534361,49.632044941048164,82.23707736784141,74.0322606324372,38.107390582198775,61.34139338316165,73.95766516998076,58.66270101925256,71.57963230737452,71.88639240506329,65.30321892228348,95.70648801950192,,67.76368032705125
1983:Q4,75.39387423155739,72.82769039735098,77.4190154185022,76.98546372396204,69.7120055114925,75.26169763891193,67.13089227618278,63.648198934125475,72.0353907392364,50.86037264450562,49.669727329891,81.63561024144337,73.47167141136536,38.804519274859196,61.00325025155148,73.78795104116993,59.62280256930359,72.52469325153375,72.0984967121286,66.46643109540635,96.89527142631653,,68.06901816947284
1984:Q1,75.97582364830726,72.64590822440087,76.73997694850382,76.98376157732247,70.17309760301043,76.59499840827117,66.13667766176194,63.29633735868449,71.2633689243028,51.768905232191635,50.02637813647082,81.44108903225808,73.7559243743199,39.61340750917354,60.778093185089865,74.29699842022117,59.53185279187817,74.26271229276183,72.32916886543536,67.63369451240825,93.09679741672976,,68.56283673691655
1984:Q2,76.68004117793862,72.47177094522019,79.27467594192878,77.13336491570294,70.6062277119368,76.57298739321793,65.82242552429064,64.02939444161144,71.16535412096522,51.4989971169687,50.14813924311159,81.94736855409505,74.17411139363773,40.47493769386642,60.57761707849753,74.84227129337539,60.07469945355192,74.74027064401423,72.74419164503186,68.61692920200795,105.58391835797879,,69.36136006118124
1984:Q3,75.62777736777369,72.24501631105625,79.8235631200821,77.62305937500001,71.18089690991584,76.4992869452445,65.63278862107474,64.2625894948143,70.98258320493066,52.01362315875614,50.30034003939125,82.5528592666006,73.98418856342882,41.294824272448324,60.2349579447907,75.41345093715546,59.79224452554745,74.87768507863444,73.1070882625841,69.49501889385091,101.39304550022247,,69.76985439477504
1984:Q4,76.30983131067961,71.9345326859719,80.55184123343527,77.74674738219896,71.52722980677835,76.27387072261914,65.58480913077497,64.32576354679804,71.0458864118896,53.63284559417947,50.492293632574125,83.22384054448226,76.45798777217634,41.68582280950646,60.25587316485247,75.97045418827597,60.68485998289867,74.88253431008903,73.53469298245615,69.94367639528929,98.07669736617771,,70.45394179377527
