column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,south_africa,column_w,aggregate_pdi
1977:Q3,18.269102427348514,29.68683570610347,24.93564591106244,40.236036532816854,36.54576295244285,27.355387139532624,10.627640729022767,16.405248771943082,22.26371599168044,12.617282514075104,11.53853209290739,10.26543002974385,48.147915636368545,4.330551279302766,16.10682577951609,39.704037302576424,15.914086019129948,13.933711631564567,18.29587396830837,22.221260563826732,4.450004674674533,,24.469016668958098
1977:Q4,18.921050582074518,30.121613718029884,25.754084219021564,40.5708621146539,37.02161851303452,27.99029652561982,11.159560403258936,16.878427509864586,23.00440203125207,13.352455580428074,11.965568216369773,10.677158988624582,49.15806911513449,4.63318670042742,16.41140990994046,40.408982320628525,16.271934393041953,14.351724745477386,18.783635512651433,22.891349280156692,4.581741555437362,,25.12773259343819
1978:Q1,19.674401181014545,30.723732220485363,26.864485191090193,40.92551464027565,37.48046454664153,28.718949137959807,11.772876736741805,17.37983939897183,23.994808282972716,13.750365298868731,12.425643392958102,10.94894458087795,50.163545446565784,5.068385180093202,16.804667641046777,41.0648817368133,16.559723158492915,14.744207551683404,19.36348840105433,23.314053193734466,4.733098991921828,,25.694595385462545
1978:Q2,19.85185203571904,31.161145871053893,27.16225818797109,41.31762224700842,38.04763645770821,29.352528907447024,12.30738938057668,17.934815740005092,24.746722075276484,14.513511020385394,12.885378876360653,11.410223721138344,50.97118772456877,5.400763895551612,17.209330822883743,41.7230921175786,16.811548225604252,15.238957157655953,19.82995596320912,23.95822718230643,4.42208005569079,,26.29577432716999
1978:Q3,20.759253150917537,31.62459540881011,27.62663882766289,41.725175017516705,38.72919374987332,29.990247662554186,12.814948601914903,18.511501972865297,25.479484329788495,15.012655657970079,13.35794620431102,11.91863015116091,51.7869275232859,5.72885011439943,17.486035819117053,42.2996248217363,16.621523627553938,15.804164455821095,20.28737998416221,24.47153909568086,4.940354843857048,,26.867247763052386
1978:Q4,21.075093489366967,32.08189308057574,28.507174530619913,42.15782064860057,39.453732787214754,30.581702972436375,13.29422249598958,19.152330797405817,26.1836195247429,15.370898939971031,13.822739686879913,12.484346117209684,52.507609668129504,6.053355105694103,17.783436480549224,42.93039045698623,16.909516782037983,16.45763771740153,20.719092724461493,25.0143772731418,4.8880111596992855,,27.433149254136858
1979:Q1,21.80692900147494,32.39016073156024,29.048358895467235,42.54583316164313,40.25942932256479,31.220068340924417,13.68446217989323,19.80875310519581,26.673661827446765,16.090369805429074,14.304650170479418,13.08051427820024,53.19612687925829,6.414042868117786,18.115315985645125,43.95423428672006,17.270356136087358,17.30364398587264,20.896277881140485,25.646332285085272,5.286339681085661,,28.053903663311726
1979:Q2,22.099911286104508,32.939519470150735,30.447150426210296,43.040374267452464,41.05384882815448,31.82102263046487,14.147127898305436,20.522267613072998,27.38405685121163,16.73340756393425,14.78551054169648,13.756231051776565,53.89012131703375,6.71502333050336,18.58549642989022,44.268606128873564,17.73035425122419,17.98551702298811,21.37613127689086,26.047434363831552,5.115223967922367,,28.603324746128383
1979:Q3,22.363306563506118,33.61202454679421,30.79594271865674,43.55877433107645,41.802397143244605,32.43858641896279,14.605048220779002,21.247934931070695,28.15314368659265,17.79904183817462,15.299694454767216,14.490684740251293,54.43213542962413,6.99684993030668,19.14431485402886,44.21793088199721,18.339662619504768,18.65060431850498,21.939538920122175,26.72839042310996,5.791451049941627,,29.24343775258593
1979:Q4,22.86237594323081,34.356826629933565,31.920150773469114,44.11532111175288,42.42530717723977,33.013432127450656,15.053976200596011,22.03298728274114,28.965333035566573,19.357706035215283,15.807210478824137,15.297075403052304,55.12589462960623,7.259969120396417,19.787376218300825,43.998571515615076,18.93913232710913,19.32091082277699,22.585247285082488,27.45207090530817,6.048186322917531,,29.972959153189844
