column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1992:Q2,76.75,90.25,86.12,90.32,88.6,82.36,82.76,78.44,82.44,71.34,58.16,97.28,93.38,75.78,87.22,87.44,66.5,78.42,89.01,77.58,88.7,,82.34
1992:Q3,78.17,90.59,87.35,90.39,88.7,82.5,82.77,78.1,82.66,72.02,58.58,97.01,93.37,76.24,87.45,87.65,66.34,78.43,88.99,77.77,87.27,,82.54
1992:Q4,77.73,90.72,85.59,90.1,91.35,81.87,82.81,76.4,82.93,72.72,59.18,97.02,94.75,77.29,88.53,87.4,66.71,77.96,88.14,78.65,87.21,,83.29
1993:Q1,77.42,90.3,86.05,89.92,88.61,81.2,83.28,74.38,82.81,72.98,60.79,93.21,93.95,77.3,89.14,85.65,67.62,78.26,85.35,77.3,85.16,,82.17
1993:Q2,77.55,90.33,88.85,89.37,89.21,81.02,83.19,73.52,82.93,74.55,61.3,92.61,94.13,78.02,90.06,85.44,67.13,78.9,83.47,78.3,86.76,,82.84
1993:Q3,76.7,90.44,85.84,89.15,89.77,81.23,82.96,73.07,83.08,75.53,61.55,92.04,94.59,79.28,89.88,85.22,65.87,78.69,85.41,78.27,85.3,,82.86
1993:Q4,77.58,90.65,84.73,89.71,90.21,80.83,82.61,71.69,83.18,75.97,61.56,91.72,94.18,80.18,89.01,85.26,66.25,79.47,83.38,79.22,85.19,,83.22
1994:Q1,79.26,90.55,85.66,89.95,90.48,80.88,81.03,69.85,82.78,75.48,60.12,91.9,93.31,81.62,88.65,85.98,67.85,78.6,83.23,78.71,85.68,,82.96
1994:Q2,80.51,91.08,85.92,90.71,89.09,81.03,80.88,69.58,83.03,75.06,60.23,91.77,97.28,82.6,88.13,86.54,68.05,79.16,81.27,79.85,84.29,,83.83
1994:Q3,79.84,91.84,85.38,91.33,89.75,82,81.02,69.89,83.3,76.54,60.64,91.74,94.75,83.12,88.83,86.97,68.13,79.81,83.81,80.23,84.69,,83.88
1994:Q4,80.84,92.8,85.94,91.59,91.57,82.72,81.46,70.29,83.8,76.23,61.35,92.34,95.47,84.95,91.03,87.31,68.87,79.65,85.2,81.09,84.91,,84.68
1995:Q1,81.23,95.3,85.98,92,90.94,85.04,83.13,73.5,85.04,76.86,63.31,92.2,96.03,85.63,93.07,87.77,69.17,81.81,83.7,81.49,85.67,,85.15
1995:Q2,80.61,96.37,85.98,92.01,91.63,86.19,83.73,74.82,85.58,77.18,64.15,92.16,96.9,86.05,94.72,88.47,69.82,82.01,82.65,81.31,84.68,,85.34
1995:Q3,82.17,96.77,85.69,91.96,91.42,87.49,84.22,75.83,85.71,77.58,64.88,91.84,96.14,86.17,96.67,89.13,69.86,82.59,83.45,81.71,88.76,,85.55
1995:Q4,82.94,97.63,86.07,91.77,90.93,88.1,84.62,75.85,85.78,78.8,65.5,92.27,95.95,87.98,97.26,89.79,70.43,82.63,84.13,81.98,85.97,,85.81
1996:Q1,83.57,95.76,85.48,90.81,91.87,87.75,84.94,73.97,85.38,79.72,65.36,93.58,94.8,90.56,96.78,89.83,71.31,83.62,82.89,82.69,87.1,,86.2
1996:Q2,84.13,96.11,84.76,90.9,91.6,87.54,85.14,74.12,85.35,80.59,66.03,93.86,95.81,90.75,97.33,90.5,72.35,83.98,83.48,83.35,90.26,,86.7
1996:Q3,84.17,95.94,84.77,91.53,92.12,87.72,85.26,74.72,85.8,80.66,66.82,93.92,95.98,90.56,97.33,91.48,72.8,84.83,83.13,83.82,88.12,,86.99
1996:Q4,84.63,95.99,85.52,91.67,91.69,87.26,85.28,75.39,86,80.59,67.79,94.3,97.03,91.43,97.75,92.1,73.1,85.42,82.31,84.03,87.2,,87.28
1997:Q1,84.57,96.02,85.56,92.16,91.28,87.3,84.55,76.71,86.01,83.41,68.62,94.11,95.27,91.98,99.07,93.42,73.73,87.06,81.93,84.41,90.13,,87.42
1997:Q2,85.65,96.69,85.92,92.56,92.28,87.34,84.66,77.87,86.58,83.76,70.32,94.17,95.59,91.66,99.93,94.22,74.49,87.48,81.75,84.84,89.96,,87.85
1997:Q3,85.49,96.34,87.26,92.76,91.72,87.61,84.94,78.51,86.68,83.09,71.35,93.81,96.32,90.84,100.82,94.75,77,87.11,82.8,85.57,88.23,,88.18
1997:Q4,84.99,96.97,86.76,93.32,92.53,88,85.38,78.57,87.16,84.24,71.91,93.63,96.97,89.25,102.45,95.17,77.58,86.87,83.26,86.52,87.98,,88.76
1998:Q1,83.91,97.7,87.32,93.72,92.69,89.55,86.14,78.66,87.96,85.59,74.3,92.72,97.21,85.71,103.56,96.14,78.44,85.82,82.75,88.33,89.63,,89.59
1998:Q2,84.01,97.78,87.36,94.35,92.13,90.06,86.86,79.16,88.61,85.16,75.56,92.57,96.6,86.2,104.92,96.94,78.53,85.77,82.8,89.35,89.43,,89.96
