column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,netherlands,norway,new_zealand,sweden,us,column_u,oecd_19
1981:Q3,44.0292527830221,53.9287829073338,93.1968645855956,100.630670081531,131.423897098726,47.1743958071832,32.4593492241308,49.9640944331983,53.7649161726881,33.5627629437383,31.734387356765,76.3657381168081,106.101199634183,141.554918740538,43.4272212579942,53.1882480843778,38.5143017974373,71.3377767456322,61.5314009164696,,73.521092167832
1981:Q4,44.867596346163,53.4717642722403,89.2049908054756,102.137750302626,131.167102136107,46.6672796731176,31.8991567176623,50.4569362447902,52.9967459393234,32.2763768584408,29.4287964224181,76.2154475033093,107.492968515918,140.906222057564,40.6537252656759,53.4982354221035,40.6405703076508,69.7132952565988,60.9341722422603,,73.0616349710463
1982:Q1,43.2236502452604,50.7080662025899,86.0224014464686,102.558485519997,131.173704498409,44.7526441562259,31.2232948333341,52.0597937208666,51.9565778393887,31.1638646411293,29.4127016800017,75.9870847370826,108.928395717657,135.369267691352,38.747376366857,53.4842253228233,42.7019056014017,68.7481986005747,60.8808253853767,,72.6331851169318
1982:Q2,43.0190740272373,49.4205055290218,81.1159522584612,100.094777033445,130.691736906958,43.871310555578,30.7513587056492,53.1397873032634,51.1757735605164,31.8728255698573,29.6066824783225,75.8693361087173,110.686742106892,136.113732930116,37.7053495255988,53.26781582003,43.8412309191564,67.2716519203202,60.7946659803025,,72.5306381060249
1982:Q3,41.6167803264008,49.6668523203902,76.2210139284874,98.6266682112001,129.585966661866,42.6659832643826,30.2991923047448,53.6988681863249,51.0166009837071,31.8053460927277,27.5166157276167,74.379292394704,111.53796943682,138.525989905829,37.9672575500309,52.7821385294014,43.5876658635182,65.6208053011774,59.3204417769397,,71.6693551922129
1982:Q4,40.5478265871692,48.3534435600875,71.1820037553306,100.4129516736,128.430861380402,42.9410483378478,29.9108918221443,55.6987369961842,50.5702305884656,31.9127921120519,27.7068078650842,72.6147425000376,112.500683645894,142.533208287617,37.2788349555964,52.3391531455668,43.2406884375493,63.8547702956986,59.7624991572441,,71.6595856345551
1983:Q1,40.35868967022,47.0606293664768,70.6633570734312,98.9290039497851,128.012197242892,45.5609315777059,29.5462211876945,57.9723688301574,50.001552969639,32.9219117408345,27.114772364463,68.8242212628052,113.469750317216,156.641024327825,37.2102508223457,52.9154642980945,43.894867625057,61.4791221627192,60.1080788419834,,72.1565674212814
1983:Q2,40.7853592371042,46.0943030194422,69.6689273745353,100.213808793206,127.204161789951,50.3555415750548,29.2709319341994,59.3330912824716,49.2843310690543,33.4477055437808,27.5716912556851,67.9900841209947,114.17181912562,162.874207654029,38.0267596707952,52.7262178387439,43.8765919944929,59.994979325981,59.998908832704,,72.2999127324567
1983:Q3,40.7677899931274,44.8499426611641,69.0402985366503,102.444251463692,125.113118730998,50.9324670199223,29.0510010105643,61.0138428457629,48.7189907392491,33.923186771789,28.7142480099003,67.2363029462842,114.776979824094,168.212874340681,37.7780153901356,51.9734331470362,44.5296144132099,58.8971389606187,59.7606777166456,,72.2244972345018
1983:Q4,41.0401184585676,44.2253538424038,68.9712943046447,103.309467742256,123.760279828451,51.5050985246956,28.9155645786666,62.4895112706387,48.2147874727823,34.1515424708884,29.1524157494915,65.5822995822265,115.048492385531,168.925785332479,37.0204332331714,51.3534096594392,45.6317754717624,58.2628270369267,60.031777356971,,72.1696205074274
