column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,u_k,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,u_s,s_africa,column_w,aggregate_hpi
1998:Q2,59.13,70.04,73.88,90.91,111.2,68.73,52.18,64.4,54.65,50.08,48.9,67.63,130.52,92.73,60.13,64.76,72.4,62.84,61.29,70,50.21,,78.17
1998:Q3,59.39,71.92,73.72,90.77,110.94,69.34,53.17,66.63,55.24,51.09,52.78,67.38,130.38,90.65,60.28,66.33,72.47,61.43,62.64,70.67,50.27,,78.54
1998:Q4,60.19,73.41,73.34,90.55,110.99,70.84,53.01,66.35,56.05,51.2,54.88,67.78,129.13,88.5,60.64,68.46,71.21,62.39,64.24,71.35,49.66,,78.73
1999:Q1,61.25,75.23,73.28,90.82,111.79,71.56,53.63,66.44,57.43,52.19,59.56,68.91,128.5,89.16,61.67,70.83,74.14,63.04,64.84,71.79,48.6,,79.27
1999:Q2,62.09,76.61,74.12,90.43,111.58,72.14,53.6,68.61,58.28,53.8,58.95,69.61,127.65,89.26,61.95,73.42,75.02,63.8,66.23,72.41,48.9,,79.74
1999:Q3,63.36,77.85,73.56,89.97,111.96,72.33,55.04,71.49,59.58,56.04,62.38,70.24,126.69,89.22,62.97,76.17,76.37,64.08,67.73,72.97,48.68,,80.3
1999:Q4,64.85,76.94,74.03,90.69,112.24,72.29,56.28,72.31,60.54,57.99,64.57,70.73,125.94,88.8,63.27,79.83,78.41,63.51,68.57,73.38,49.51,,80.79
2000:Q1,65.78,77.41,74.54,89.52,112.21,73.14,56.35,72.39,61.48,60.37,65.19,71.35,124.71,87.15,63.12,81.79,79.83,62.65,70.48,74.07,51.33,,81.23
2000:Q2,66.44,77.09,75.18,90.65,112.58,74.37,56.24,71.87,62.43,62.75,67.52,72.25,123.95,88.65,63.77,84.43,83.05,62.22,73.25,75,52.18,,82
2000:Q3,65.08,76.85,75.37,90.84,112.07,75.28,56.42,71.94,63.16,63.11,69.88,73.5,122.79,86.5,64.94,87,82.67,61.59,75.08,75.84,53.07,,82.29
2000:Q4,66.1,78.82,75.8,91,111.55,76.2,57.19,72.2,63.55,65.68,69.73,74.6,121.72,85.2,65.92,88.63,84.54,60.62,76.14,76.65,54.82,,82.8
2001:Q1,67.27,79.53,76.1,90.95,111.04,77.33,58.43,72.36,64.78,65.98,72.84,75.64,120.35,83.68,69.64,88.98,84.18,60.87,77.9,77.97,55.39,,83.36
2001:Q2,68.95,79.37,76.21,91.52,110.31,77.14,58.85,71.96,65.79,66.9,72.04,76.37,119.99,85.27,71.15,90.14,84.95,60.81,77.68,78.94,55.81,,83.94
2001:Q3,72.58,79.73,77,91.76,109.78,77.29,59.99,72.67,66.62,68.54,69.65,77.29,119.08,87.53,72.94,91.6,88.07,61.14,78.36,80.06,57.19,,84.74
2001:Q4,74.14,80.32,78.54,92.88,109.12,77.44,62.14,72.99,67.87,68.35,68.35,78.82,118.43,89.79,74.33,92.2,88.79,61.76,77.81,81.05,58.55,,85.44
2002:Q1,77.63,81.34,80.5,94.29,108.32,78.33,64.57,75.49,68.81,71.28,72.61,80.33,117.21,94.39,75.97,93.15,88.28,62.47,79.2,82.06,58.7,,86.45
2002:Q2,81.52,82.38,81.33,94.6,108.02,78.77,67.37,76.98,70.39,75.66,72.53,81.7,116.21,97.01,76.76,93.56,88.42,63.95,80.5,82.82,59.03,,87.41
2002:Q3,84.19,84.25,82.53,95.47,107.6,78.8,68.96,79.53,72.21,79.76,74.78,82.71,115.13,99.25,78.34,93.83,86.96,65.75,82.69,83.95,60.51,,88.46
2002:Q4,86.19,85.69,84.52,97.24,106.92,79.21,71.11,79.19,73.86,84.1,76.97,84.14,114.05,101.11,79.61,94.02,87.41,67.7,83.99,84.75,61.65,,89.38
2003:Q1,88.67,85.17,85.97,97.16,105.47,78.88,73.87,81.99,75.11,86.39,78.98,85.62,112.93,101.4,81.05,94.02,85.9,70.76,83.94,85.26,64.13,,89.89
2003:Q2,93.21,86.76,87.25,97.89,105.35,80.03,78.29,83.59,77.27,87.81,81.33,87.46,111.64,103.35,83.52,94.74,85.83,73.81,85.32,86.24,66.69,,90.94
2003:Q3,98.48,87.13,88.81,98.54,104.72,80.64,80.61,86.43,79.21,88.68,84.44,89.01,109.86,104.69,85.75,94.46,87,79.23,85.74,86.9,69.56,,91.6
2003:Q4,101.54,89.8,90.68,98.45,104.17,81.51,83.54,89.23,81.4,90.89,86.59,90.74,108.42,104.61,87.72,95.81,88.19,83.76,87.61,88.89,73.5,,92.96
2004:Q1,101.86,89.08,91.98,98.94,103.73,83.04,86.35,90.22,84.25,92.35,87.37,92.67,106.7,103.33,91.04,97.11,92.88,86.45,89.73,89.66,77.3,,93.65
2004:Q2,100.08,89.19,93.2,98.77,102.95,84.92,89.11,92.86,86.61,96.55,90.78,94.25,105.34,102.62,92.86,97.69,92.99,88.6,92.17,91.17,82.75,,94.75
2004:Q3,99.86,90.62,94.44,99.72,102.44,87.43,91.6,95.24,89.5,99.36,91.58,95.35,103.98,100.37,95.65,98.4,94.21,90.76,93.35,94.03,88.42,,96.32
2004:Q4,100.26,93.18,95.82,99.94,101.69,89.89,94.21,95.27,92.46,100.21,94.06,96.86,102.47,99.46,96.92,99.15,95.89,92.18,95.55,95.14,92.79,,97.11
2005:Q1,100.43,96.76,97.48,99.71,100.92,92.82,96.6,98.47,95.51,100.22,95.44,98.56,101.53,98.87,99.2,99.47,98.33,96.02,97.07,96.83,95.69,,98.19
2005:Q2,100.23,98.76,98.09,99.33,100.37,96.95,98.93,98.57,98.64,99.81,98.61,99.75,100.39,99.73,98.94,99.87,98.44,98.84,97.81,99.35,98.77,,99.49
2005:Q3,99.22,100.86,100.67,100.22,99.44,102.11,101.19,100.44,101.49,99.82,100.39,100.4,99.55,100.77,101.53,100.1,100.79,101.12,100.85,101.3,101.21,,100.66
2005:Q4,100.13,103.53,103.72,100.73,99.29,107.88,103.18,102.5,104.28,100.15,105.49,101.26,98.53,100.65,100.3,100.56,102.4,103.94,104.24,102.47,104.18,,101.62
2006:Q1,101.33,106.01,108.27,101.08,99.09,114.53,104.11,106.69,106.82,101.12,107.04,102.72,97.53,101.88,104.48,101.11,104.93,105.15,108.19,103.72,108.05,,102.77
2006:Q2,103.53,108.32,113.61,101.47,99,119.09,105.41,106.31,109.04,102.71,110.08,103.55,97.17,103.5,106.42,102.22,108.07,105.42,110.24,104.14,110.26,,103.67
2006:Q3,105.71,108.35,116.59,100.44,98.97,120.79,106.65,107.92,110.67,104.16,116.05,104.13,96.56,104.06,105.58,102.75,112.75,107.84,111.39,104.57,110.91,,104.32
2006:Q4,106.26,111.04,120.06,101.01,99.02,122.59,108.48,109.65,112.46,105.95,110.44,105.1,96.61,108.69,105.88,103.62,115.91,111.04,114.1,105.23,114.21,,105.38
2007:Q1,107.64,113.67,123.09,102.41,99.01,123.99,108.34,109.95,113.7,109.3,113.24,106.41,96.8,112.51,105.69,103.59,119.77,114.99,115.78,104.58,117.44,,105.92
2007:Q2,110.18,114.89,127.65,101.5,98.85,123.26,108.49,110.7,114.56,110.93,108.77,107.21,96.62,111.89,105.35,104.37,123.18,118.12,119.6,103.86,118.61,,106.08
2007:Q3,113.68,117.06,130.71,101.37,98.5,123.28,109.01,113.47,114.73,113.46,107.76,107.29,96.61,111.51,106.05,105.49,125.6,118.35,123.19,102.57,118.91,,106.02
2007:Q4,116.87,116.69,133.07,100.44,97.93,122.29,108.42,111.82,115.45,113.95,105.22,107.29,96.28,111.31,104.59,105.71,125.31,117.29,125.33,100.74,118.2,,105.36
2008:Q1,117.53,116.74,133.69,99.63,97.52,120.27,107.72,110.2,114.78,113.07,104.31,107.81,95.98,111.28,103.63,106.16,124.54,115.28,123.58,99.19,117.85,,104.56
2008:Q2,115.3,117.64,133.16,100.67,97.08,118.47,106.23,109.84,113.52,110.99,98.13,107.17,95.52,111.61,101.31,105.95,123.37,108.98,121.47,96.1,116.41,,102.77
2008:Q3,111.9,117.34,130.39,101.34,96.38,113.49,104.2,107.72,111.76,104.64,95.27,105.69,94.52,111.62,99.46,106.81,119.66,105.41,121.14,92.5,112.76,,100.18
2008:Q4,109.03,117.88,129.32,102.07,96.92,105.92,101.99,103.54,109.2,100.3,92.61,105.38,94.68,110.38,99.79,107.33,113.91,102.51,118.6,92.48,110.46,,99.41
