column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,south_africa,column_w,aggregate_rpdi
1984:Q1,74.97155313149916,73.12780313632447,77.52400951906658,76.01955102447836,70.590545268713,77.80902693317712,66.22480918990654,64.84756377948865,71.53751447699275,56.13714109015129,50.07829415785588,81.10236555299817,75.99269660407172,39.58170394494308,60.75770776277891,72.94956649376357,58.68813269656036,74.60949684623006,71.79550029412681,67.63153336815557,93.11654577307964,,69.12201113677926
1984:Q2,75.63658824666389,72.96121465149818,80.09552514791093,76.20304041292135,71.0385400907329,77.7596552015075,65.85274328570378,65.63610504911733,71.32693827647793,55.242234522412765,50.13895012103455,81.64981922796923,76.29041051787486,40.403570766959014,60.56795861329178,73.59036332553187,59.67148733917287,75.20856768872227,72.16793910461223,68.62220657995056,105.60938205501657,,69.86581404602694
1984:Q3,74.57842526515437,72.72538546384177,80.66490167273048,76.68838803261701,71.61989650451959,77.68630948122795,65.66703189598938,65.87065164125026,71.17229666424258,56.271203779439226,50.296814466648534,82.2542925778241,76.8103186604863,41.20516004324921,60.23630817145351,74.16402655224734,59.53339337025019,75.31666121991908,72.52556842942475,69.49512580259602,101.36188159186256,,70.39541265868547
1984:Q4,75.26558547671597,72.39170015068731,81.36616012502823,76.813625376855,71.97058026071012,77.40076037523292,65.53050133986484,65.961253970165,71.14448245828123,57.40869072825679,50.468036052183905,82.94474323398654,77.18969710312383,41.59925608282176,60.27091731369612,74.73781753487098,60.15214761721855,75.33934590360839,72.9204376942616,69.94245456754466,98.0857721152964,,70.78004791874444
1985:Q1,76.38460213392611,71.95976443654953,81.10345805675733,76.88983219416241,71.69593595797006,75.81604485409461,65.68894878938973,66.74483801664941,71.40162972622319,57.714861706129746,50.872637971694516,83.49562235771312,77.60980761723447,41.859935032948385,59.981456776733154,73.27892306663077,60.56687485788514,73.85230270691171,73.58219758592945,69.63568286920443,100.64572511094241,,70.7834940435908
1985:Q2,74.95184594903677,71.98106340102015,83.06096645068398,77.10896407549188,72.0938771061885,75.88225468195549,65.80283856641672,66.88433554359376,71.3188015415546,58.00115511673433,50.96915109798684,83.53901925701133,78.46215833892491,42.78710573707596,60.348032522386056,75.03993434278165,60.72912459962962,73.10666575881207,74.05407073255877,70.84334170692784,97.67154850511633,,71.49968549174648
1985:Q3,74.89057373039292,72.36342632562997,81.99883517105683,77.82919494368817,73.06352787084754,76.40917551300855,66.09749164305128,67.45122195784484,71.58524186074487,58.06015382418748,51.03114238772315,83.91239742190582,79.01631429409056,43.30931451036496,61.145941613300565,75.21510673944898,61.120216360999734,73.01707327239636,74.66354597395652,70.20653789707103,92.96776046899387,,71.38769224101117
1985:Q4,76.22116881832656,73.1673597207285,82.54037868493418,77.9304220301371,73.55480569280377,77.40266345843058,66.41413297634357,68.12799154274362,71.93460933417077,58.714669863626845,50.955335921258644,83.99758919836546,79.56034935039368,44.24724112391818,62.06310686982174,76.32745218348809,61.28238468264565,74.59655444574818,75.3502255299885,70.73322458128791,93.66162184391617,,71.92781042271552
1986:Q1,75.69214566550347,74.85913583415598,81.90882017943541,78.53360625855854,74.44157846760697,80.17929570197636,67.2540384608511,67.93781642666018,72.49480937360566,59.35022624922693,50.5127240213218,83.8503140432876,79.68964361742515,46.24484161062049,63.81870721030412,75.64920935046806,62.63525564355476,75.83157430871856,76.52015767613901,71.23854315942687,90.97721996316915,,72.36595189708493
1986:Q2,74.90932810955786,75.67354531051595,82.54159748508248,79.09612706858391,75.96754968045309,81.13128851630137,67.66672047663498,68.19111222750102,72.8287641583954,60.570369474855056,50.4991647659903,84.50362047091313,79.99316465196411,48.12171612702431,64.96569815943712,76.63981403115118,62.047928903588875,76.65152460554356,77.11321193676847,71.84032582327326,90.77776344137429,,73.0286606704753
1986:Q3,73.79365778994254,76.05251170235097,81.8844408423729,79.8721913575981,76.52939797936283,81.5114438907536,68.16959603226717,69.06399847640154,73.17613485595098,60.74049425159878,50.723036563685135,85.2173563479959,79.94819720401215,49.308766011800024,65.4191783460439,77.59586864156432,61.158857256263545,76.6075376310588,77.52474337353856,71.99406347609211,90.89981398314767,,73.24658002154469
1986:Q4,73.88274553714378,76.07077000004097,81.89774721463712,80.68657971001069,77.17195918005822,81.32868194525908,68.62330498335791,70.13761009969987,73.15526291094542,60.87571913807157,51.13866110374613,85.87534035768437,80.14799192966422,51.31644694495236,65.64295822984354,77.055588044386,60.8372115846576,76.10421731425224,77.71003602279312,71.82975738782181,92.68930098250839,,73.41445621599225
1987:Q1,72.48987568445875,74.9807431106804,82.85849812596257,81.43509263958032,78.07546578147021,79.52383469149055,69.26747743860545,71.44320833396675,72.75188705292528,60.054703867117595,52.07080213154133,86.34259386658196,80.49516635183956,51.84659392352498,65.61352861951536,76.37737433961627,60.72246490273498,78.91103739207098,77.49829794537278,72.04721045672542,98.1377073557488,,73.67521259363863
1987:Q2,73.2697275009856,74.96572720039775,82.61146283634837,82.33361613456485,78.54676925410995,79.14695004628737,69.805814462384,72.49865020614305,72.92872189771512,60.74826606490719,52.511022151521225,86.95006357412097,80.5225536677029,53.54572846943868,65.68250315328386,76.67253241891946,61.228673567019946,80.33435881682021,77.56748951822564,71.04355657524577,97.42143567712868,,73.50637686088531
1987:Q3,74.0584994699221,75.1941450546682,83.58883449947359,83.17710697666915,78.92490139328596,79.04961499849655,70.45985480426482,73.40492607049079,73.29269927182712,61.57878346418298,52.841001770029,87.33910895866259,81.23157542876805,54.527972816213016,65.70396674238788,77.20169618182612,61.08772529162529,81.73808190498961,77.66160578779382,72.10514175409631,89.70732807050292,,74.1878576861174
1987:Q4,72.35787141355509,75.72863343985604,83.90088025174666,83.9516471726636,79.49544158720566,79.23693765426958,71.09870037002156,73.71124558502392,73.843720060293,61.73161225299137,53.05315005816887,87.8520173640262,82.22500923284755,55.96322487414649,66.19409026035973,77.3414598974318,60.69938419741012,82.91643598896812,77.66938657622975,72.9513488676204,92.13533469714453,,74.86602911856838
