column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,croatia,israel,column_y,aggregate
1981:Q2,73.2470305008284,77.7439224638093,78.770950366944,76.3280923886477,72.3882908949247,73.1032695326094,70.0022393967831,59.1764807354346,72.6647609772256,52.9579246609947,54.8313247716698,80.1655857301015,71.0349094839036,31.9059653695043,51.2220712843392,72.8848565200903,59.4171450990202,73.256997381619,73.9658472441402,60.8256210570095,97.8196885708732,8.6800717617879,44.6494468552067,,65.40038158096117
1981:Q3,73.5483594454999,77.401448438802,78.3755747114067,76.0377811521279,71.8376799072067,73.2300229607887,69.9177748767437,59.9472540493656,72.307160351104,52.6577682420089,54.5003934959014,80.4834704336905,71.393448762452,31.9178367877169,52.2484361415282,72.4064928076903,58.7824455658684,73.5972621114543,73.6845229610277,61.4939057265963,97.3691749170587,8.59597388993712,47.7419494164547,,65.63422145771375
1981:Q4,74.0376564832999,76.9337171828763,79.1685701874324,76.1762790397108,71.2784392245505,73.6224002332503,69.8498335520372,60.5382196151023,71.9010371825865,52.7771501398263,53.8489938532256,80.3803828024135,72.0491767304519,32.4829802589386,53.8282162251689,71.7210563410659,59.5114222708364,74.2427174817441,74.1586082548369,61.5475268670392,98.0580038996236,8.52393998952059,49.4976163434197,,65.74366167040208
1982:Q1,74.0962104633757,76.2371459080844,79.9643023751912,76.4795771196265,70.7684308582376,76.1522821038777,69.8916180070908,61.6163737742243,72.9689483569902,52.7007177066486,52.0219165635658,79.4907228230466,72.222268884265,33.3474441125204,55.25234510178,72.2428239531013,59.4051533579522,75.6827163859882,73.7377516144139,61.5121544950743,98.5832457683761,8.63879409947617,49.9764649454871,,65.8096101747451
1982:Q2,74.4653343802098,75.7620604889689,78.2849863783486,76.4618915212979,70.2327266767434,76.4958909117841,69.7890462661536,62.1602689568665,73.3518115157524,53.0488159993474,51.2087673327443,79.8939891112583,72.5880385195498,33.7360837177295,56.4588948660987,72.179839645802,59.108492063195,73.9585671508174,72.2440683591779,61.6363482840283,96.8054593489818,8.53998456385915,48.9602465509143,,65.8298826936915
1982:Q3,73.6164207686723,75.3373923062198,77.7342936394078,76.1297835010766,69.5396641577349,76.6048039606384,69.6487310586471,62.7784126275831,73.252904478741,52.8306566510802,50.6027235364654,79.0926110388886,73.0832870807854,34.3079653058867,57.5367673097301,72.0352399832953,58.682903179099,73.1189462845072,72.3487835710835,61.7791379536102,96.0472476165143,8.41191148725517,46.8131831525191,,65.77647895631353
1982:Q4,73.3387953643205,74.9422817622555,74.8106904011392,76.0028657980705,68.9997553794855,76.525248157704,69.4867564092167,63.661923700015,72.0133717992048,52.850612244507,50.2416732899394,78.7711632005972,73.4518579980355,34.896783919104,58.0538981164353,71.4613306688108,58.8462056460433,71.600648381717,71.9129112564861,61.9188992760614,95.9426230003488,8.21012595845855,44.7024635355541,,65.61786632015746
1983:Q1,73.0442963827408,74.4317358418102,74.4464645118714,76.1253141945644,68.9093724191157,74.6270654502601,69.4307616024669,64.4923291478662,72.9363244372366,52.948663223006,49.9498149820735,79.5703474307815,73.4752157148882,35.2904517838219,58.667640318198,70.2123368512382,58.9802687739363,68.8563216106958,72.3416980711448,62.2450363248174,97.1023464850531,7.85271960704281,43.2272812924397,,65.80747655105742
1983:Q2,72.2035536473242,74.1799089239323,74.1304764616352,75.6034676863081,68.8931857986521,74.4552773551269,69.1598263735749,65.1280197974286,71.9641941491138,54.0785312519534,49.894023338016,80.0457685487154,74.1945648626489,36.2565561477306,58.8773422756422,70.1219842080066,59.6380514510213,69.7103806599397,73.064912735936,62.6149062877117,96.7199652095861,7.64852867431425,43.0207300547236,,66.07625478264443
1983:Q3,73.8859103206318,73.9608682996588,78.0011173499313,75.9172139522064,68.6142480201841,74.3599214784011,68.8057430792453,65.4878069748696,71.5516953406268,53.8831208140428,49.8689973448242,80.4055283630317,74.626275849181,37.6603862327249,59.0523740288166,69.7400999426288,59.6966696061759,70.8581092394763,71.3251711182715,63.3650534573523,96.8426672096433,7.46486177439087,43.2029524147083,,66.59217416202088
1983:Q4,73.6342447964305,73.7239022340328,76.3832208982146,75.9107766910658,68.9340459433486,74.3484088352611,68.3585835406952,65.5572601345461,71.4184283747175,53.9941668283913,49.9017806330275,79.8119424931914,74.7179015704621,38.3529450617636,58.7669712085408,69.5744388927632,60.2432951959774,71.9871944117817,71.1896819811528,64.4426081653071,97.5992991331871,7.30573509025808,40.8417865761156,,66.9776804055939
1984:Q1,73.8540880269931,73.6531814176943,75.3278065591583,75.9106962629635,69.376592929999,75.6634486971742,67.3983735497985,65.1822955190502,71.2693237629511,54.4225521810405,50.2665021577371,79.6081128548863,75.32819229475,38.917991170731,58.5810951287818,70.0529270475536,60.2607685592416,73.5372643499754,72.1914023098484,65.4704238832545,98.7000522823215,7.07759774600905,38.5778538474978,,67.49445344839576
1984:Q2,74.0821966163157,73.2629648228382,77.8977157533914,76.1262152282979,69.7442881736305,75.6531828606023,67.0493254176778,65.9542329721151,70.3896087093699,54.2860754268331,50.3784451083074,80.1239508615134,75.5507811998198,39.6969740884652,58.3424204367538,70.5638431879444,61.5509066453265,73.7217050596968,72.4918466698692,66.3708832046171,99.9107545319497,6.98629121269309,38.3156363288439,,68.0335311087727
1984:Q3,73.752095361981,72.9324126251991,78.2240658034414,76.5022593374501,70.3365639066055,75.5717488469025,66.8593584746218,66.1989797426319,70.6069135135497,55.3676499927177,50.5326842117145,80.7193650136431,75.7456016448897,40.4937084674156,57.9198804604729,71.1166371585641,61.7107228278128,73.393582093008,73.2700810435641,67.0650735585297,99.4276226054814,6.94639468360767,38.7928743643123,,68.53535214626396
